date,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-12-10 18:30:00+00:00,8.054,14.854,19.804,21.604,0.106,0.107,0.116,0.15,0.232
2025-12-10 19:30:00+00:00,7.554,14.204,19.504,21.604,0.107,0.107,0.116,0.151,0.232
2025-12-10 20:30:00+00:00,7.4040003,13.654,19.204,21.604,0.107,0.108,0.116,0.151,0.232
2025-12-10 21:30:00+00:00,6.854,13.254,18.854,21.604,0.108,0.108,0.116,0.151,0.232
2025-12-10 22:30:00+00:00,6.304,12.804,18.554,21.554,0.108,0.109,0.116,0.151,0.232
2025-12-10 23:30:00+00:00,6.354,12.504,18.254,21.554,0.107,0.108,0.117,0.153,0.234
2025-12-11 00:30:00+00:00,6.704,12.154,17.954,21.554,0.107,0.108,0.117,0.153,0.234
