folder_name,model_name,val_model,dataset,session_timestamp,total_latency_sec_median,total_latency_sec_q1,total_latency_sec_q3,total_prompt_tokens_median,total_prompt_tokens_q1,total_prompt_tokens_q3,total_completion_tokens_median,total_completion_tokens_q1,total_completion_tokens_q3,total_tokens_median,total_tokens_q1,total_tokens_q3,tasks_generated_total,tasks_generated_median,tasks_generated_q1,tasks_generated_q3,code_generated_total,code_generated_median,code_generated_q1,code_generated_q3,validated_code_total,validated_code_median,validated_code_q1,validated_code_q3,executed_code_total,executed_code_median,executed_code_q1,executed_code_q3,validation_success_rate_median,validation_success_rate_q1,validation_success_rate_q3,execution_success_rate_median,execution_success_rate_q1,execution_success_rate_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,443.73,356.31,531.15,100102.5,95398.25,104806.75,136840.0,122330.0,151350.0,236942.5,217728.25,256156.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,871.46,750.31,992.62,77657.0,71354.5,83959.5,154038.0,145499.0,162577.0,231695.0,216853.5,246536.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,464.41,406.47,522.35,90531.0,88947.0,92115.0,166932.0,160405.5,173458.5,257463.0,252520.5,262405.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),,meteo-data,20260731_161341,2726.08,0.0,0.0,18591.0,0.0,0.0,94695.0,0.0,0.0,113286.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",meteo-data,20260731_204159,411.61,396.61,426.62,17986.0,10174.0,25798.0,35685.5,26034.75,45336.25,53671.5,36208.75,71134.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,171.85,167.22,176.48,94404.5,88978.25,99830.75,17274.5,16473.25,18075.75,111679.0,105451.5,117906.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,205.38,201.91,208.85,83845.0,82280.5,85409.5,18070.5,17742.75,18398.25,101915.5,100023.25,103807.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,355.26,347.36,363.17,61122.0,61118.5,61125.5,12325.0,12151.5,12498.5,73447.0,73270.0,73624.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",meteo-data,20260731_204159,148.05,119.53,176.58,20990.0,20989.0,20991.0,4350.0,4328.5,4371.5,25340.0,25317.5,25362.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,81.4,79.03,83.77,64058.5,60992.75,67124.25,35161.0,33708.5,36613.5,99219.5,94701.25,103737.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
