step,script_start_time_utc,script_end_time_utc,script_duration_sec,llm_start_time_utc,llm_end_time_utc,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,model,tasks
llm_call,2025-12-14T15:36:00.937923+00:00,,,2025-12-14T15:36:00.940747+00:00,2025-12-14T15:41:15.459189+00:00,314.5184137999895,1492,2645,4137,4.743760411270553,8.40968249853258,qwen3:8b,"next_hour_forecast,dew_point_calculation"
script,2025-12-14T15:36:00.937923+00:00,2025-12-14T15:41:15.468723+00:00,314.5307954000018,,,,,,,,,,
