dataset,script_count,exec_time_median_s,peak_cpu_median_pct,peak_cpu_max_pct,peak_mem_median_mb,peak_mem_max_mb
agri-data,60,0.1890799474931555,24.45,36.475,12.4375,102.453125
air-quality,66,0.3455465034930967,24.625,47.95,13.71875,102.53125
lab-data,48,51.31299167100224,49.162499999999994,49.425,125.9296875,916.390625
meteo-data,1,0.5128800889942795,24.525,24.525,13.15625,13.15625
,1,4.988484866014915,53.725,53.725,169.25,169.25
