step,model,run_count,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,resource_generated_at,resource_last_checked,avg_cpu_1m,avg_mem_1m,avg_cpu_5m,avg_mem_5m
llm_call,meta-llama/llama-4-scout-17b-16e-instruct,1,2026-06-01T12:44:16.085266+05:30,2026-06-01T12:44:18.117626+05:30,2.0323600999836344,2026-06-01T12:44:16.609830+05:30,2026-06-01T12:44:18.114978+05:30,1.5051306000095792,2219,384,2603,1474.2906695178992,255.12736236812677,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
llm_call,meta-llama/llama-4-scout-17b-16e-instruct,2,2026-06-01T12:44:31.609168+05:30,2026-06-01T12:44:34.051366+05:30,2.4422079999931157,2026-06-01T12:44:32.135813+05:30,2026-06-01T12:44:34.046346+05:30,1.910513999988325,2539,506,3045,1328.9617349129687,264.8501921488626,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
