step,model,run_count,task_name,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,resource_generated_at,resource_last_checked,avg_cpu_1m,avg_mem_1m,avg_cpu_5m,avg_mem_5m
code_gen,qwen2.5-coder:7b-instruct-q8_0,1,Calculate Soil Fertility Index (SFI),2026-06-10T15:37:21.356501+05:30,2026-06-10T15:39:41.526105+05:30,140.16960180000024,2026-06-10T15:37:21.880907+05:30,2026-06-10T15:39:41.525951+05:30,139.64503130000003,3522,653,4175,25.221090698412837,4.67614202897887,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,1,Analyze Photosynthesis Potential,2026-06-10T15:37:21.356501+05:30,2026-06-10T15:41:59.934435+05:30,278.5779322000003,2026-06-10T15:37:21.883105+05:30,2026-06-10T15:41:59.934303+05:30,278.051187,3526,692,4218,12.68111831509642,2.4887503896899386,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,1,Determine Temperature-Humidity Stress,2026-06-10T15:37:21.356501+05:30,2026-06-10T15:44:24.832218+05:30,423.4757141,2026-06-10T15:37:21.881928+05:30,2026-06-10T15:44:24.832106+05:30,422.9501672000001,3520,556,4076,8.322493458988278,1.3145756713629213,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,1,Predict Crop Growth Stage,2026-06-10T15:37:21.356501+05:30,2026-06-10T15:45:46.545774+05:30,505.1892736,2026-06-10T15:37:21.883866+05:30,2026-06-10T15:45:46.545652+05:30,504.6617766000004,3527,669,4196,6.988839186042681,1.3256403219343786,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,2,Analyze Photosynthesis Potential,2026-06-10T15:54:09.527940+05:30,2026-06-10T15:56:25.124439+05:30,135.59649739999986,2026-06-10T15:54:10.055158+05:30,2026-06-10T15:56:25.124310+05:30,135.06914340000003,3526,692,4218,26.10514815776939,5.123301907310385,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,2,Calculate Soil Fertility Index (SFI),2026-06-10T15:54:09.527940+05:30,2026-06-10T15:58:25.197647+05:30,255.6697079999999,2026-06-10T15:54:10.054594+05:30,2026-06-10T15:58:25.197539+05:30,255.1429360000002,3522,653,4175,13.804027088564967,2.559349712899751,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,2,Predict Crop Growth Stage,2026-06-10T15:54:09.527940+05:30,2026-06-10T16:01:55.925437+05:30,466.3974938999995,2026-06-10T15:54:10.055814+05:30,2026-06-10T16:01:55.925323+05:30,465.8695015999997,3527,669,4196,7.570789647930888,1.4360244611470836,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,qwen2.5-coder:7b-instruct-q8_0,2,Determine Temperature-Humidity Stress,2026-06-10T15:54:09.527940+05:30,2026-06-10T16:06:10.710166+05:30,721.1822237000001,2026-06-10T15:54:10.053836+05:30,2026-06-10T16:06:10.710050+05:30,720.6562021999998,3520,556,4076,4.88443725212416,0.7715190659605207,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
