timestamp_ist,step,event_type,run_count,task_name,model_name,cpu_percent,memory_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,cpu_temperature_celsius
2026-06-10T15:48:50.797149+05:30,step4_scheduler,start,1,,qwen2.5-coder:7b-instruct-q8_0,11.3,35.6,78551336,191615875,160261,225076,
2026-06-10T15:52:52.765051+05:30,step4_scheduler,end,1,,qwen2.5-coder:7b-instruct-q8_0,4.5,35.9,83874118,220041122,181731,256348,
2026-06-10T16:09:14.284858+05:30,step4_scheduler,start,2,,qwen2.5-coder:7b-instruct-q8_0,10.7,37.5,126704659,305715637,268927,368364,
2026-06-10T16:20:26.031344+05:30,step4_scheduler,end,2,,qwen2.5-coder:7b-instruct-q8_0,1.3,37.9,180478125,464429924,400614,523830,
